index,Plate Number,Sample1,Sample2,Sample3,Sample4,Station1_status,Station2_status,Station3_status,Station4_status,Station5_status,Station6_status,total_time,time_in_step,time_target,start_time,end_time,add_time,cycle_time,method,staff_level,capacity_level
0.0,1.0,0.0,38.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,9520.0,10.0,15.0,0.0,435.0,0.0,2625,Fixed (20),0,0
0.0,2.0,0.0,0.0,20.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,9520.0,5.0,15.0,440.0,875.0,0.0,2625,Fixed (20),0,0
0.0,3.0,0.0,40.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,8080.0,10.0,15.0,1440.0,1875.0,1440.0,2625,Fixed (20),0,0
0.0,4.0,0.0,19.0,0.0,21.0,3.0,3.0,3.0,3.0,3.0,3.0,8080.0,5.0,15.0,1440.0,1895.0,1440.0,2625,Fixed (20),0,0
0.0,5.0,0.0,0.0,40.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,8080.0,15.0,15.0,1900.0,2335.0,1440.0,2625,Fixed (20),0,0
0.0,6.0,0.0,0.0,40.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,8080.0,10.0,15.0,1900.0,2355.0,1440.0,2625,Fixed (20),0,0
0.0,7.0,0.0,0.0,40.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,8080.0,5.0,15.0,1930.0,2375.0,1440.0,2625,Fixed (20),0,0
0.0,8.0,0.0,0.0,40.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,8080.0,15.0,15.0,1930.0,2395.0,1440.0,2625,Fixed (20),0,0
0.0,9.0,0.0,0.0,40.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,8080.0,15.0,15.0,1960.0,2515.0,1440.0,2625,Fixed (20),0,0
0.0,10.0,0.0,0.0,40.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,8080.0,10.0,15.0,1960.0,2535.0,1440.0,2625,Fixed (20),0,0
0.0,11.0,0.0,0.0,40.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,8080.0,5.0,15.0,1990.0,2555.0,1440.0,2625,Fixed (20),0,0
0.0,12.0,0.0,0.0,40.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,8080.0,15.0,15.0,1990.0,2575.0,1440.0,2625,Fixed (20),0,0
0.0,13.0,0.0,0.0,40.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,8080.0,15.0,15.0,2020.0,2695.0,1440.0,2625,Fixed (20),0,0
0.0,14.0,0.0,0.0,40.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,8080.0,10.0,15.0,2020.0,2715.0,1440.0,2625,Fixed (20),0,0
0.0,15.0,0.0,0.0,0.0,27.0,3.0,3.0,3.0,3.0,3.0,3.0,8080.0,15.0,15.0,1470.0,1915.0,1440.0,2625,Fixed (20),0,0
0.0,16.0,0.0,40.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,6640.0,10.0,15.0,2880.0,3315.0,2880.0,2625,Fixed (20),0,0
0.0,17.0,0.0,7.0,0.0,33.0,3.0,3.0,3.0,3.0,3.0,3.0,6640.0,5.0,15.0,2880.0,3335.0,2880.0,2625,Fixed (20),0,0
0.0,18.0,0.0,0.0,40.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,6640.0,15.0,15.0,3340.0,3775.0,2880.0,2625,Fixed (20),0,0
