,date,method,class_1,class_2,class_3,class_4
119,8/14/2020,PET (4),74,162,125,87
120,8/14/2020,tOPS,0,115,204,86
121,8/15/2020,Fixed (20),0,33,0,0
122,8/15/2020,Fixed (4),0,160,0,1
123,8/15/2020,Hist Prev (20),0,74,0,0
124,8/15/2020,Hist Prev (4),0,160,0,1
125,8/15/2020,Individual,0,0,0,640
126,8/15/2020,PET (20),55,23,0,0
127,8/15/2020,PET (4),55,118,0,0
128,8/15/2020,tOPS,0,33,0,0
129,8/16/2020,Fixed (20),0,46,40,3
130,8/16/2020,Fixed (4),0,229,8,4
131,8/16/2020,Hist Prev (20),0,84,22,3
132,8/16/2020,Hist Prev (4),0,229,8,4
133,8/16/2020,Individual,0,0,0,920
134,8/16/2020,PET (20),77,34,40,3
135,8/16/2020,PET (4),77,171,8,3
136,8/16/2020,tOPS,0,46,40,3
137,8/17/2020,Fixed (20),0,38,20,1
138,8/17/2020,Fixed (4),0,190,4,1
139,8/17/2020,Hist Prev (20),0,70,12,1
140,8/17/2020,Hist Prev (4),0,190,4,1
141,8/17/2020,Individual,0,0,0,760
142,8/17/2020,PET (20),64,27,20,1
143,8/17/2020,PET (4),64,141,4,1
144,8/17/2020,tOPS,0,38,20,1
145,8/18/2020,Fixed (20),0,59,400,48
146,8/18/2020,Fixed (4),0,288,96,48
147,8/18/2020,Hist Prev (20),0,95,280,48
148,8/18/2020,Hist Prev (4),0,288,96,48
149,8/18/2020,Individual,0,0,0,1200
150,8/18/2020,PET (20),97,103,153.5,48
151,8/18/2020,PET (4),97,214,88,48
152,8/18/2020,tOPS,0,99,258,48
153,8/19/2020,Fixed (20),0,47,100,80
154,8/19/2020,Fixed (4),0,230,20,81
155,8/19/2020,Hist Prev (20),0,91,51,80
156,8/19/2020,Hist Prev (4),0,230,20,81
157,8/19/2020,Individual,0,0,0,1000
158,8/19/2020,PET (20),78,42,53,80
159,8/19/2020,PET (4),78,171,19,80
160,8/19/2020,tOPS,0,55,78,80
161,8/20/2020,Fixed (20),0,70,367,7
162,8/20/2020,Fixed (4),0,339,139,7
163,8/20/2020,Hist Prev (20),0,121,255,7
