,date,method,class_1,class_2,class_3,class_4
594,11/5/2020,Fixed (4),0,18,16,242
595,11/5/2020,Hist Prev (20),0,18,16,242
596,11/5/2020,Hist Prev (4),0,18,16,242
597,11/5/2020,Individual,0,0,0,314
598,11/5/2020,PET (20),7,10,18,241
599,11/5/2020,PET (4),7,13,15,241
600,11/5/2020,tOPS,0,11,24,241
601,11/6/2020,Fixed (20),0,23,163,161
602,11/6/2020,Fixed (4),0,109,44,161
603,11/6/2020,Hist Prev (20),0,81,52,161
604,11/6/2020,Hist Prev (4),0,109,44,161
605,11/6/2020,Individual,0,0,0,594
606,11/6/2020,PET (20),38,39,62,162
607,11/6/2020,PET (4),38,78,40,161
608,11/6/2020,tOPS,0,53,75,161
609,11/9/2020,Fixed (20),0,3,40,167
610,11/9/2020,Fixed (4),0,13,12,168
611,11/9/2020,Hist Prev (20),0,13,12,168
612,11/9/2020,Hist Prev (4),0,13,12,168
613,11/9/2020,Individual,0,0,0,220
614,11/9/2020,PET (20),5,9,11,167
615,11/9/2020,PET (4),5,9,11,167
616,11/9/2020,tOPS,0,11,15,167
617,11/10/2020,Fixed (20),0,7,113,203
618,11/10/2020,Fixed (4),0,29,64,204
619,11/10/2020,Hist Prev (20),0,27,70,203
620,11/10/2020,Hist Prev (4),0,29,64,204
621,11/10/2020,Individual,0,0,0,318
622,11/10/2020,PET (20),10,26,57,204
623,11/10/2020,PET (4),10,26,54,204
624,11/10/2020,tOPS,0,33,60,204
625,11/11/2020,Fixed (20),0,4,60,197
626,11/11/2020,Fixed (4),0,17,20,197
627,11/11/2020,Hist Prev (20),0,17,20,197
628,11/11/2020,Hist Prev (4),0,17,20,197
629,11/11/2020,Individual,0,0,0,265
630,11/11/2020,PET (20),6,10,22,197
631,11/11/2020,PET (4),6,12,19,197
632,11/11/2020,tOPS,0,10,33,197
633,11/12/2020,Fixed (20),0,4,40,249
634,11/12/2020,Fixed (4),0,16,12,250
635,11/12/2020,Hist Prev (20),0,16,12,250
636,11/12/2020,Hist Prev (4),0,16,12,250
637,11/12/2020,Individual,0,0,0,314
638,11/12/2020,PET (20),6,9,13,249
639,11/12/2020,PET (4),6,11,11,249
640,11/12/2020,tOPS,0,11,18,249
641,11/13/2020,Fixed (20),0,25,309,92
642,11/13/2020,Fixed (4),0,119,96,94
643,11/13/2020,Hist Prev (20),0,90,123,93
644,11/13/2020,Hist Prev (4),0,119,96,94
645,11/13/2020,Individual,0,0,0,570
646,11/13/2020,PET (20),42,69,103,93
647,11/13/2020,PET (4),42,90,86,94
648,11/13/2020,tOPS,0,80,133,92
649,11/15/2020,Fixed (20),0,6,77,91
650,11/15/2020,Fixed (4),0,29,16,92
651,11/15/2020,Hist Prev (20),0,23,20,91
652,11/15/2020,Hist Prev (4),0,29,16,92
653,11/15/2020,Individual,0,0,0,208
654,11/15/2020,PET (20),11,9,15,91
655,11/15/2020,PET (4),11,21,15,91
656,11/15/2020,tOPS,0,10,51,91
657,11/16/2020,Fixed (20),0,4,60,145
658,11/16/2020,Fixed (4),0,19,20,145
659,11/16/2020,Hist Prev (20),0,19,20,145
660,11/16/2020,Hist Prev (4),0,19,20,145
661,11/16/2020,Individual,0,0,0,221
662,11/16/2020,PET (20),7,13,22,145
663,11/16/2020,PET (4),7,13,19,145
664,11/16/2020,tOPS,0,15,25,146
665,11/17/2020,Fixed (20),0,10,112,276
666,11/17/2020,Fixed (4),0,44,100,276
667,11/17/2020,Hist Prev (20),0,39,100,276
668,11/17/2020,Hist Prev (4),0,44,100,276
669,11/17/2020,Individual,0,0,0,451
670,11/17/2020,PET (20),16,2,24,358
671,11/17/2020,PET (4),16,11,24,359
672,11/17/2020,tOPS,0,4,0,388
673,11/18/2020,Fixed (20),0,10,140,444
674,11/18/2020,Fixed (4),0,43,52,444
675,11/18/2020,Hist Prev (20),0,43,52,444
676,11/18/2020,Hist Prev (4),0,43,52,444
677,11/18/2020,Individual,0,0,0,612
678,11/18/2020,PET (20),15,25,52,444
679,11/18/2020,PET (4),15,30,46.5,445
680,11/18/2020,tOPS,0,39,56,445
681,11/19/2020,Fixed (20),0,7,80,366
682,11/19/2020,Fixed (4),0,32,24,366
683,11/19/2020,Hist Prev (20),0,32,24,366
684,11/19/2020,Hist Prev (4),0,32,24,366
685,11/19/2020,Individual,0,0,0,494
686,11/19/2020,PET (20),12,19,22,365
687,11/19/2020,PET (4),12,22,21,365
688,11/19/2020,tOPS,0,19,30,365
689,11/20/2020,Fixed (20),0,45,420,286
690,11/20/2020,Fixed (4),0,220,196,287
691,11/20/2020,Hist Prev (20),0,171,210,287
692,11/20/2020,Hist Prev (4),0,220,196,287
693,11/20/2020,Individual,0,0,0,1166
694,11/20/2020,PET (20),74,120,192,286
695,11/20/2020,PET (4),74,182,167,286
696,11/20/2020,tOPS,0,144,231,286
697,11/23/2020,Fixed (20),0,6,107,215
698,11/23/2020,Fixed (4),0,27,75,215
699,11/23/2020,Hist Prev (20),0,27,75,215
700,11/23/2020,Hist Prev (4),0,27,75,215
701,11/23/2020,Individual,0,0,0,322
702,11/23/2020,PET (20),9,26,62,215
703,11/23/2020,PET (4),9,26,62,215
704,11/23/2020,tOPS,0,36,62,215
705,11/24/2020,Fixed (20),0,11,99,173
706,11/24/2020,Fixed (4),0,55,51,173
707,11/24/2020,Hist Prev (20),0,43,51,172
708,11/24/2020,Hist Prev (4),0,55,51,173
709,11/24/2020,Individual,0,0,0,392
710,11/24/2020,PET (20),20,28,45,172
711,11/24/2020,PET (4),20,46,45,172
712,11/24/2020,tOPS,0,31,51,173
713,11/25/2020,Fixed (20),0,3,20,81
714,11/25/2020,Fixed (4),0,12,4,82
715,11/25/2020,Hist Prev (20),0,12,4,82
716,11/25/2020,Hist Prev (4),0,12,4,82
717,11/25/2020,Individual,0,0,0,130
718,11/25/2020,PET (20),5,1,3,81
719,11/25/2020,PET (4),5,8,4,81
720,11/25/2020,tOPS,0,6,8,82
721,11/30/2020,Fixed (20),0,2,40,56
722,11/30/2020,Fixed (4),0,10,12,56
723,11/30/2020,Hist Prev (20),0,10,12,56
724,11/30/2020,Hist Prev (4),0,10,12,56
725,11/30/2020,Individual,0,0,0,96
726,11/30/2020,PET (20),4,7,11,56
727,11/30/2020,PET (4),4,7,11,56
728,11/30/2020,tOPS,0,10,12,56
729,12/1/2020,Fixed (20),0,19,136,78
730,12/1/2020,Fixed (4),0,94,56,78
731,12/1/2020,Hist Prev (20),0,69,56,78
732,12/1/2020,Hist Prev (4),0,94,56,78
733,12/1/2020,Individual,0,0,0,454
734,12/1/2020,PET (20),32,34,52,78
735,12/1/2020,PET (4),32,70,51,78
736,12/1/2020,tOPS,0,46,56,78
737,12/2/2020,Fixed (20),0,19,110,59
738,12/2/2020,Fixed (4),0,85,64,60
739,12/2/2020,Hist Prev (20),0,68,64,59
740,12/2/2020,Hist Prev (4),0,85,64,60
741,12/2/2020,Individual,0,0,0,398
742,12/2/2020,PET (20),30,33,53,59
743,12/2/2020,PET (4),30,67,53,59
744,12/2/2020,tOPS,0,41,64,59
745,12/3/2020,Fixed (20),0,9,40,109
746,12/3/2020,Fixed (4),0,40,12,109
747,12/3/2020,Hist Prev (20),0,27,15,109
748,12/3/2020,Hist Prev (4),0,40,12,109
749,12/3/2020,Individual,0,0,0,265
750,12/3/2020,PET (20),14,13,13,109
751,12/3/2020,PET (4),14,28,11,109
752,12/3/2020,tOPS,0,17,18,109
753,12/4/2020,Fixed (20),0,13,180,257
754,12/4/2020,Fixed (4),0,59,64,257
755,12/4/2020,Hist Prev (20),0,47,76,257
756,12/4/2020,Hist Prev (4),0,59,64,257
757,12/4/2020,Individual,0,0,0,493
758,12/4/2020,PET (20),21,35,63,258
759,12/4/2020,PET (4),21,42,56,257
760,12/4/2020,tOPS,0,37,108,257
761,12/5/2020,Fixed (20),0,4,60,95
762,12/5/2020,Fixed (4),0,16,24,96
763,12/5/2020,Hist Prev (20),0,16,24,96
764,12/5/2020,Hist Prev (4),0,16,24,96
765,12/5/2020,Individual,0,0,0,160
766,12/5/2020,PET (20),6,11,23,95
767,12/5/2020,PET (4),6,11,22,95
768,12/5/2020,tOPS,0,16,24,96
769,12/7/2020,Fixed (20),0,4,44,127
770,12/7/2020,Fixed (4),0,16,16,127
771,12/7/2020,Hist Prev (20),0,16,16,127
772,12/7/2020,Hist Prev (4),0,16,16,127
773,12/7/2020,Individual,0,0,0,191
774,12/7/2020,PET (20),6,9,18,128
775,12/7/2020,PET (4),6,11,14,127
776,12/7/2020,tOPS,0,13,19,127
777,12/8/2020,Fixed (20),0,11,100,60
778,12/8/2020,Fixed (4),0,54,39,60
779,12/8/2020,Hist Prev (20),0,43,39,60
780,12/8/2020,Hist Prev (4),0,54,39,60
781,12/8/2020,Individual,0,0,0,273
782,12/8/2020,PET (20),19,24,37,61
783,12/8/2020,PET (4),19,38,34,61
784,12/8/2020,tOPS,0,34,39,60
785,12/9/2020,Fixed (20),0,13,140,144
786,12/9/2020,Fixed (4),0,59,52,144
787,12/9/2020,Hist Prev (20),0,45,58,144
788,12/9/2020,Hist Prev (4),0,59,52,144
789,12/9/2020,Individual,0,0,0,377
790,12/9/2020,PET (20),20,22,59,144
791,12/9/2020,PET (4),20,42,46,144
792,12/9/2020,tOPS,0,33,84,144
793,12/10/2020,Fixed (20),0,15,187,168
794,12/10/2020,Fixed (4),0,67,91,168
795,12/10/2020,Hist Prev (20),0,57,100,168
796,12/10/2020,Hist Prev (4),0,67,91,168
797,12/10/2020,Individual,0,0,0,433
798,12/10/2020,PET (20),24,47,79,168
799,12/10/2020,PET (4),24,57,77,169
800,12/10/2020,tOPS,0,51,97,168
801,12/11/2020,Fixed (20),0,10,40,177
802,12/11/2020,Fixed (4),0,50,8,177
803,12/11/2020,Hist Prev (20),0,37,8,178
804,12/11/2020,Hist Prev (4),0,50,8,177
805,12/11/2020,Individual,0,0,0,377
806,12/11/2020,PET (20),17,6,12,177
807,12/11/2020,PET (4),17,36,7,177
808,12/11/2020,tOPS,0,18,14,177
809,12/13/2020,Fixed (20),0,42,160,150
810,12/13/2020,Fixed (4),0,201,36,150
811,12/13/2020,Hist Prev (20),0,132,63,150
812,12/13/2020,Hist Prev (4),0,201,36,150
813,12/13/2020,Individual,0,0,0,951
814,12/13/2020,PET (20),68,54,60,150
815,12/13/2020,PET (4),68,148,33,151
816,12/13/2020,tOPS,0,75,80,150
817,12/14/2020,Fixed (20),0,5,51,146
818,12/14/2020,Fixed (4),0,22,20,146
819,12/14/2020,Hist Prev (20),0,16,23,146
820,12/14/2020,Hist Prev (4),0,22,20,146
821,12/14/2020,Individual,0,0,0,232
822,12/14/2020,PET (20),8,7,35,146
823,12/14/2020,PET (4),8,15,19,146
824,12/14/2020,tOPS,0,15,24,146
825,12/15/2020,Fixed (20),0,19,200,221
826,12/15/2020,Fixed (4),0,91,82,221
827,12/15/2020,Hist Prev (20),0,68,91,220
828,12/15/2020,Hist Prev (4),0,91,82,221
829,12/15/2020,Individual,0,0,0,583
830,12/15/2020,PET (20),31,55,79,221
831,12/15/2020,PET (4),31,76,71,221
832,12/15/2020,tOPS,0,67,90,222
833,12/16/2020,Fixed (20),0,9,93,190
834,12/16/2020,Fixed (4),0,43,40,191
835,12/16/2020,Hist Prev (20),0,33,43,190
836,12/16/2020,Hist Prev (4),0,43,40,191
837,12/16/2020,Individual,0,0,0,363
838,12/16/2020,PET (20),16,20,50,190
839,12/16/2020,PET (4),16,35,34,190
840,12/16/2020,tOPS,0,34,41,190
841,12/17/2020,Fixed (20),0,10,108,137
842,12/17/2020,Fixed (4),0,47,28,138
843,12/17/2020,Hist Prev (20),0,39,34,138
844,12/17/2020,Hist Prev (4),0,47,28,138
845,12/17/2020,Individual,0,0,0,325
846,12/17/2020,PET (20),17,15,33,137
847,12/17/2020,PET (4),17,33,25,137
848,12/17/2020,tOPS,0,32,43,137
849,12/18/2020,Fixed (20),0,18,140,152
850,12/18/2020,Fixed (4),0,83,40,154
851,12/18/2020,Hist Prev (20),0,62,46,153
852,12/18/2020,Hist Prev (4),0,83,40,154
853,12/18/2020,Individual,0,0,0,486
854,12/18/2020,PET (20),29,26,56,152
855,12/18/2020,PET (4),29,61,39,152
856,12/18/2020,tOPS,0,45,62,152
857,12/21/2020,Fixed (20),0,8,60,145
858,12/21/2020,Fixed (4),0,37,20,145
859,12/21/2020,Hist Prev (20),0,27,23,145
860,12/21/2020,Hist Prev (4),0,37,20,145
861,12/21/2020,Individual,0,0,0,293
862,12/21/2020,PET (20),13,12,35,145
863,12/21/2020,PET (4),13,27,19,146
864,12/21/2020,tOPS,0,21,27,146
865,12/22/2020,Fixed (20),0,7,133,67
866,12/22/2020,Fixed (4),0,33,60,68
867,12/22/2020,Hist Prev (20),0,33,60,68
868,12/22/2020,Hist Prev (4),0,33,60,68
869,12/22/2020,Individual,0,0,0,200
870,12/22/2020,PET (20),12,32,53,68
871,12/22/2020,PET (4),12,32,53,68
872,12/22/2020,tOPS,0,33,60,68
873,12/23/2020,Fixed (20),0,4,40,81
874,12/23/2020,Fixed (4),0,18,12,81
875,12/23/2020,Hist Prev (20),0,18,12,81
876,12/23/2020,Hist Prev (4),0,18,12,81
877,12/23/2020,Individual,0,0,0,153
878,12/23/2020,PET (20),6,10,13,81
879,12/23/2020,PET (4),6,13,11,81
880,12/23/2020,tOPS,0,12,18,81
881,12/28/2020,Fixed (20),0,0,0,24
882,12/28/2020,Fixed (4),0,0,0,24
883,12/28/2020,Hist Prev (20),0,0,0,24
884,12/28/2020,Hist Prev (4),0,0,0,24
885,12/28/2020,Individual,0,0,0,24
886,12/28/2020,PET (20),0,0,0,24
887,12/28/2020,PET (4),0,0,0,24
888,12/28/2020,tOPS,0,0,0,24
889,12/29/2020,Fixed (20),0,0,0,87
890,12/29/2020,Fixed (4),0,0,0,87
891,12/29/2020,Hist Prev (20),0,0,0,87
892,12/29/2020,Hist Prev (4),0,0,0,87
893,12/29/2020,Individual,0,0,0,87
894,12/29/2020,PET (20),0,0,0,87
895,12/29/2020,PET (4),0,0,0,87
896,12/29/2020,tOPS,0,0,0,87
897,12/30/2020,Fixed (20),0,7,126,68
898,12/30/2020,Fixed (4),0,32,86,68
899,12/30/2020,Hist Prev (20),0,32,86,68
900,12/30/2020,Hist Prev (4),0,32,86,68
901,12/30/2020,Individual,0,0,0,194
902,12/30/2020,PET (20),11,31,69,68
903,12/30/2020,PET (4),11,31,69,68
904,12/30/2020,tOPS,0,42,72,68
905,12/31/2020,Fixed (20),0,3,40,35
906,12/31/2020,Fixed (4),0,11,16,35
907,12/31/2020,Hist Prev (20),0,11,16,35
908,12/31/2020,Hist Prev (4),0,11,16,35
909,12/31/2020,Individual,0,0,0,77
910,12/31/2020,PET (20),4,7,15,35
911,12/31/2020,PET (4),4,7,15,35
912,12/31/2020,tOPS,0,11,16,35
913,1/4/2021,Fixed (20),0,3,51,73
914,1/4/2021,Fixed (4),0,13,20,73
915,1/4/2021,Hist Prev (20),0,13,20,73
916,1/4/2021,Hist Prev (4),0,13,20,73
917,1/4/2021,Individual,0,0,0,124
918,1/4/2021,PET (20),5,12,18,73
919,1/4/2021,PET (4),5,12,18,73
920,1/4/2021,tOPS,0,13,20,73
921,1/5/2021,Fixed (20),0,2,40,35
922,1/5/2021,Fixed (4),0,10,8,35
923,1/5/2021,Hist Prev (20),0,10,8,35
924,1/5/2021,Hist Prev (4),0,10,8,35
925,1/5/2021,Individual,0,0,0,75
926,1/5/2021,PET (20),4,7,7,34
927,1/5/2021,PET (4),4,7,7,35
928,1/5/2021,tOPS,0,8,10,35
929,1/6/2021,Fixed (20),0,18,140,153
930,1/6/2021,Fixed (4),0,90,60,153
931,1/6/2021,Hist Prev (20),0,58,75,152
932,1/6/2021,Hist Prev (4),0,90,60,153
933,1/6/2021,Individual,0,0,0,513
934,1/6/2021,PET (20),31,37,75,152
935,1/6/2021,PET (4),31,70,50,152
936,1/6/2021,tOPS,0,54,78,152
937,1/7/2021,Fixed (20),0,11,40,56
938,1/7/2021,Fixed (4),0,49,8,56
939,1/7/2021,Hist Prev (20),0,33,11,56
940,1/7/2021,Hist Prev (4),0,49,8,56
941,1/7/2021,Individual,0,0,0,251
942,1/7/2021,PET (20),17,6,23,56
943,1/7/2021,PET (4),17,36,8,56
944,1/7/2021,tOPS,0,19,20,56
945,1/8/2021,Fixed (20),0,14,163,49
946,1/8/2021,Fixed (4),0,63,92,49
947,1/8/2021,Hist Prev (20),0,47,101,49
948,1/8/2021,Hist Prev (4),0,63,92,49
949,1/8/2021,Individual,0,0,0,298
950,1/8/2021,PET (20),22,40,83,50
951,1/8/2021,PET (4),22,51,77,50
952,1/8/2021,tOPS,0,53,93,50
953,1/11/2021,Fixed (20),0,8,94,62
954,1/11/2021,Fixed (4),0,36,36,63
955,1/11/2021,Hist Prev (20),0,29,39,62
956,1/11/2021,Hist Prev (4),0,36,36,63
957,1/11/2021,Individual,0,0,0,205
958,1/11/2021,PET (20),13,15,47,62
959,1/11/2021,PET (4),13,25,30,63
960,1/11/2021,tOPS,0,27,41,62
961,1/12/2021,Fixed (20),0,18,77,52
962,1/12/2021,Fixed (4),0,88,32,53
963,1/12/2021,Hist Prev (20),0,59,32,53
964,1/12/2021,Hist Prev (4),0,88,32,53
965,1/12/2021,Individual,0,0,0,405
966,1/12/2021,PET (20),30,24,27,52
967,1/12/2021,PET (4),30,65,27,52
968,1/12/2021,tOPS,0,33,32,53
969,1/13/2021,Fixed (20),0,26,280,34
970,1/13/2021,Fixed (4),0,122,107,35
971,1/13/2021,Hist Prev (20),0,93,119,34
972,1/13/2021,Hist Prev (4),0,122,107,35
973,1/13/2021,Individual,0,0,0,520
974,1/13/2021,PET (20),41,61,111,34
975,1/13/2021,PET (4),41,90,95,34
976,1/13/2021,tOPS,0,82,131,34
977,1/14/2021,Fixed (20),0,16,116,40
978,1/14/2021,Fixed (4),0,75,40,40
979,1/14/2021,Hist Prev (20),0,51,46,40
980,1/14/2021,Hist Prev (4),0,75,40,40
981,1/14/2021,Individual,0,0,0,340
982,1/14/2021,PET (20),26,21,50,40
983,1/14/2021,PET (4),26,54,37,40
984,1/14/2021,tOPS,0,33,64,40
985,1/15/2021,Fixed (20),0,14,100,121
986,1/15/2021,Fixed (4),0,68,36,121
987,1/15/2021,Hist Prev (20),0,50,39,121
988,1/15/2021,Hist Prev (4),0,68,36,121
989,1/15/2021,Individual,0,0,0,391
990,1/15/2021,PET (20),24,23,50,121
991,1/15/2021,PET (4),24,48,33,121
992,1/15/2021,tOPS,0,38,46,121
993,1/17/2021,Fixed (20),0,51,372,81
994,1/17/2021,Fixed (4),0,250,184,81
995,1/17/2021,Hist Prev (20),0,170,215,81
996,1/17/2021,Hist Prev (4),0,255,182,81
997,1/17/2021,Individual,0,0,0,1079
998,1/17/2021,PET (20),84,68,134,180
999,1/17/2021,PET (4),84,161,82,180
1000,1/17/2021,tOPS,0,78,132,213
1001,1/18/2021,Fixed (20),0,49,200,25
1002,1/18/2021,Fixed (4),0,243,44,25
1003,1/18/2021,Hist Prev (20),0,139,77,25
1004,1/18/2021,Hist Prev (4),0,243,44,25
1005,1/18/2021,Individual,0,0,0,995
1006,1/18/2021,PET (20),81,72,89,25
1007,1/18/2021,PET (4),81,181,41,25
1008,1/18/2021,tOPS,0,89,121,25
1009,1/19/2021,Fixed (20),0,50,200,100
1010,1/19/2021,Fixed (4),0,249,44,100
1011,1/19/2021,Hist Prev (20),0,147,74,100
1012,1/19/2021,Hist Prev (4),0,249,44,100
1013,1/19/2021,Individual,0,0,0,1096
1014,1/19/2021,PET (20),84,60,93,100
1015,1/19/2021,PET (4),84,186,41,100
1016,1/19/2021,tOPS,0,93,117,100
1017,1/20/2021,Fixed (20),0,60,449,56
1018,1/20/2021,Fixed (4),0,291,148,57
1019,1/20/2021,Hist Prev (20),0,190,187,57
1020,1/20/2021,Hist Prev (4),0,291,148,57
1021,1/20/2021,Individual,0,0,0,1220
1022,1/20/2021,PET (20),98,121,183,57
1023,1/20/2021,PET (4),98,227,129,57
1024,1/20/2021,tOPS,0,163,202,57
1025,1/21/2021,Fixed (20),0,40,279,120
1026,1/21/2021,Fixed (4),0,200,72,120
1027,1/21/2021,Hist Prev (20),0,119,107,120
1028,1/21/2021,Hist Prev (4),0,200,72,120
1029,1/21/2021,Individual,0,0,0,919
1030,1/21/2021,PET (20),68,69,107,120
1031,1/21/2021,PET (4),68,148,67,120
1032,1/21/2021,tOPS,0,105,120,120
1033,1/22/2021,Fixed (20),0,18,140,125
1034,1/22/2021,Fixed (4),0,88,42,125
1035,1/22/2021,Hist Prev (20),0,59,57,125
1036,1/22/2021,Hist Prev (4),0,88,42,125
1037,1/22/2021,Individual,0,0,0,474
1038,1/22/2021,PET (20),30,33,61,125
1039,1/22/2021,PET (4),30,64,38,126
1040,1/22/2021,tOPS,0,50,67,126
1041,1/23/2021,Fixed (20),0,12,20,51
1042,1/23/2021,Fixed (4),0,59,4,51
1043,1/23/2021,Hist Prev (20),0,34,7,51
1044,1/23/2021,Hist Prev (4),0,59,4,51
1045,1/23/2021,Individual,0,0,0,287
1046,1/23/2021,PET (20),20,8,20,51
1047,1/23/2021,PET (4),20,44,4,51
1048,1/23/2021,tOPS,0,15,16,51
1049,1/24/2021,Fixed (20),0,34,80,36
1050,1/24/2021,Fixed (4),0,170,16,36
1051,1/24/2021,Hist Prev (20),0,97,28,37
1052,1/24/2021,Hist Prev (4),0,170,16,36
1053,1/24/2021,Individual,0,0,0,716
1054,1/24/2021,PET (20),57,36,45,36
1055,1/24/2021,PET (4),57,127,15,37
1056,1/24/2021,tOPS,0,36,76,36
1057,1/25/2021,Fixed (20),0,28,160,62
1058,1/25/2021,Fixed (4),0,139,56,62
1059,1/25/2021,Hist Prev (20),0,88,68,62
1060,1/25/2021,Hist Prev (4),0,139,56,62
1061,1/25/2021,Individual,0,0,0,618
1062,1/25/2021,PET (20),47,48,72,62
1063,1/25/2021,PET (4),47,108,48,62
1064,1/25/2021,tOPS,0,57,96,62
1065,1/26/2021,Fixed (20),0,29,340,293
1066,1/26/2021,Fixed (4),0,143,100,293
1067,1/26/2021,Hist Prev (20),0,88,153,293
1068,1/26/2021,Hist Prev (4),0,143,100,293
1069,1/26/2021,Individual,0,0,0,862
1070,1/26/2021,PET (20),48,73,114,293
1071,1/26/2021,PET (4),48,105,90,293
1072,1/26/2021,tOPS,0,100,136,293
1073,1/27/2021,Fixed (20),0,14,171,502
1074,1/27/2021,Fixed (4),0,65,81,502
1075,1/27/2021,Hist Prev (20),0,49,90,503
1076,1/27/2021,Hist Prev (4),0,65,81,502
1077,1/27/2021,Individual,0,0,0,761
1078,1/27/2021,PET (20),23,41,71,503
1079,1/27/2021,PET (4),23,53,65,504
1080,1/27/2021,tOPS,0,54,84,503
1081,1/28/2021,Fixed (20),0,15,285,122
1082,1/28/2021,Fixed (4),0,71,224,123
1083,1/28/2021,Hist Prev (20),0,41,271,122
1084,1/28/2021,Hist Prev (4),0,71,224,123
1085,1/28/2021,Individual,0,0,0,407
1086,1/28/2021,PET (20),24,0,60,335
1087,1/28/2021,PET (4),24,0,60,335
1088,1/28/2021,tOPS,0,57,245,122
1089,1/29/2021,Fixed (20),0,19,160,290
1090,1/29/2021,Fixed (4),0,91,48,291
1091,1/29/2021,Hist Prev (20),0,61,63,291
1092,1/29/2021,Hist Prev (4),0,91,48,291
1093,1/29/2021,Individual,0,0,0,655
1094,1/29/2021,PET (20),32,38,65,290
1095,1/29/2021,PET (4),32,67,43,291
1096,1/29/2021,tOPS,0,53,73,290
1097,2/1/2021,Fixed (20),0,10,40,160
1098,2/1/2021,Fixed (4),0,46,8,160
1099,2/1/2021,Hist Prev (20),0,27,14,160
1100,2/1/2021,Hist Prev (4),0,46,8,160
1101,2/1/2021,Individual,0,0,0,344
1102,2/1/2021,PET (20),16,6,20,160
1103,2/1/2021,PET (4),16,34,8,160
1104,2/1/2021,tOPS,0,19,20,160
1105,2/2/2021,Fixed (20),0,28,144,156
1106,2/2/2021,Fixed (4),0,136,36,156
1107,2/2/2021,Hist Prev (20),0,83,57,155
1108,2/2/2021,Hist Prev (4),0,136,36,156
1109,2/2/2021,Individual,0,0,0,700
1110,2/2/2021,PET (20),46,42,58,155
1111,2/2/2021,PET (4),46,101,33,155
1112,2/2/2021,tOPS,0,59,80,156
1113,2/3/2021,Fixed (20),0,26,260,178
1114,2/3/2021,Fixed (4),0,130,64,178
1115,2/3/2021,Hist Prev (20),0,75,112,178
1116,2/3/2021,Hist Prev (4),0,130,64,178
1117,2/3/2021,Individual,0,0,0,698
1118,2/3/2021,PET (20),44,64,84,178
1119,2/3/2021,PET (4),44,97,61,178
1120,2/3/2021,tOPS,0,75,112,178
1121,2/4/2021,Fixed (20),0,44,292,82
1122,2/4/2021,Fixed (4),0,216,84,82
1123,2/4/2021,Hist Prev (20),0,100,169,81
1124,2/4/2021,Hist Prev (4),0,216,84,82
1125,2/4/2021,Individual,0,0,0,946
1126,2/4/2021,PET (20),73,88,109,82
1127,2/4/2021,PET (4),73,164,72,83
1128,2/4/2021,tOPS,0,86,170,81
1129,2/5/2021,Fixed (20),0,32,320,227
1130,2/5/2021,Fixed (4),0,156,84,227
1131,2/5/2021,Hist Prev (20),0,102,129,227
1132,2/5/2021,Hist Prev (4),0,156,84,227
1133,2/5/2021,Individual,0,0,0,849
1134,2/5/2021,PET (20),53,77,108,228
1135,2/5/2021,PET (4),53,115,80,227
1136,2/5/2021,tOPS,0,92,135,227
1137,2/8/2021,Fixed (20),0,14,146,186
1138,2/8/2021,Fixed (4),0,64,44,186
1139,2/8/2021,Hist Prev (20),0,44,58,186
1140,2/8/2021,Hist Prev (4),0,64,44,186
1141,2/8/2021,Individual,0,0,0,440
1142,2/8/2021,PET (20),22,32,54,186
1143,2/8/2021,PET (4),22,47,41,186
1144,2/8/2021,tOPS,0,37,68,187
1145,2/9/2021,Fixed (20),0,25,200,164
1146,2/9/2021,Fixed (4),0,122,52,164
1147,2/9/2021,Hist Prev (20),0,70,84,164
1148,2/9/2021,Hist Prev (4),0,122,52,164
1149,2/9/2021,Individual,0,0,0,652
1150,2/9/2021,PET (20),41,52,72,164
1151,2/9/2021,PET (4),41,91,48,165
1152,2/9/2021,tOPS,0,70,84,164
1153,2/10/2021,Fixed (20),0,27,352,120
1154,2/10/2021,Fixed (4),0,129,104,120
1155,2/10/2021,Hist Prev (20),0,79,153,120
1156,2/10/2021,Hist Prev (4),0,129,104,120
1157,2/10/2021,Individual,0,0,0,634
1158,2/10/2021,PET (20),44,81,113,121
1159,2/10/2021,PET (4),44,98,95,122
1160,2/10/2021,tOPS,0,90,140,120
1161,2/11/2021,Fixed (20),0,23,200,134
1162,2/11/2021,Fixed (4),0,109,48,134
1163,2/11/2021,Hist Prev (20),0,70,71,134
1164,2/11/2021,Hist Prev (4),0,109,48,134
1165,2/11/2021,Individual,0,0,0,567
1166,2/11/2021,PET (20),37,41,75,134
1167,2/11/2021,PET (4),37,80,44,134
1168,2/11/2021,tOPS,0,64,75,134
1169,2/12/2021,Fixed (20),0,25,400,111
1170,2/12/2021,Fixed (4),0,122,136,112
1171,2/12/2021,Hist Prev (20),0,77,202,111
1172,2/12/2021,Hist Prev (4),0,122,136,112
1173,2/12/2021,Individual,0,0,0,600
1174,2/12/2021,PET (20),42,72,134,111
1175,2/12/2021,PET (4),42,90,124,111
1176,2/12/2021,tOPS,0,98,159,111
1177,2/15/2021,Fixed (20),0,13,187,144
1178,2/15/2021,Fixed (4),0,62,60,144
1179,2/15/2021,Hist Prev (20),0,36,98,144
1180,2/15/2021,Hist Prev (4),0,62,60,144
1181,2/15/2021,Individual,0,0,0,391
1182,2/15/2021,PET (20),21,36,66,144
